file_name,caption,duration
105040.wav,"A truck is traveling on the road, and the driver is honking the horn",10.0
106805.wav,A man speaking while crinkling paper followed by plastic creaking then a toilet flushing,10.0
22816.wav,"People are shouting, laughing and clapping, water is rushing and splashing, and an adult male speaks and laughs in the foreground",10.0
103632.wav,A vehicle engine revving then accelerating at a high rate as wind blows heavily into a microphone,10.0
104637.wav,A jackhammer operating,10.0
105129.wav,Humming followed by faint cracking oinks and a man speaking,10.0
23582.wav,Machinery running,10.0
105996.wav,A woman talking then a child talking followed by a man talking then a goat yelling,10.0
105480.wav,"A mid-size motor vehicle engine idles smoothly and is then revved several times, followed by a car door shutting",10.0
105872.wav,Liquid spraying and splattering on a hard surface as kids laugh in the background,10.0
106338.wav,A man speaks and then a horn blows.,10.0
104878.wav,Woosh of air and loud snoring,10.0
106891.wav,Brief silence followed by a man laughing,10.0
102887.wav,Someone sneezes through static and then coughs several times in quick succession,10.0
105547.wav,Water splashing followed by a duck quacking then a person laughing as water splashes,10.0
103683.wav,A fire truck sounds the siren as it travels,10.0
107272.wav,An engine starting and running,10.0
107062.wav,Constant faint humming and a few light knocks,10.0
104370.wav,Wind noise on microphone with waves splashing in the background,10.0
105030.wav,Humming of an engine with squealing tires,10.0
104624.wav,An infant crying as cloth shuffles,10.0
12247.wav,Rhythmic ticking is occurring,10.0
104375.wav,A fire truck siren blasts,10.0
106430.wav,An engine revving and then skidding tires,10.0
104770.wav,A man speaks then a small bird chirps,10.0
106244.wav,Goats bleat followed by female speech and a younger female speaking,10.0
105573.wav,An engine revving,10.0
105720.wav,Rapid and repeated gunfire and then a male speech,10.0
104292.wav,An air gun firing rapidly followed by plastic rattling and a young boy talking while footsteps walk over grass,10.0
106228.wav,Hissing sounds and bird chirping.,10.0
104693.wav,"A small motor is running, five hisses and a meow occur, then five more hisses and a meow occur",10.0
62720.wav,Young children are whistling and laughing,10.0
107242.wav,A vacuum cleaner cleaning a surface and hissing,10.0
105649.wav,Whistling and then laughing with a male speaking in the distance,10.0
3452.wav,There is a mature male talking to some animals,10.0
107086.wav,A man speaking followed by a goat baaing,10.0
102974.wav,"Water running out of a faucet, some hitting a sink bottom, and some water filling a cup",10.0
106171.wav,An engine running and screeching with rustling,10.0
107316.wav,A toilet flushes as music plays in the distance,10.0
106548.wav,Emergency sirens going off as a vehicle drives by,10.0
25196.wav,"Engine working, beeping and a scraping",10.0
22200.wav,A bird chirps and water splashes lightly,10.0
105368.wav,A man mimics a goat bleating,10.0
104856.wav,Seagulls squawking as ocean waves crash while wind blows heavily into a microphone,10.0
105811.wav,A toilet flushes and water drains,10.0
104374.wav,A person is snoring,10.0
107310.wav,Birds chirping as a man is speaking followed by an animal squeaking,10.0
104998.wav,Bird chirping while waves come in with high wind,10.0
103567.wav,An emergency vehicle sounds siren followed by a vehicle engine idling,10.0
106475.wav,A pop and rattle occurs and then a child giggles,10.0
105982.wav,"Glass clinks, thumps occur, and then silverware clatters",10.0
103547.wav,A child yelling as a young boy talks during several slaps on a hard surface,10.0
107417.wav,A person snoring repetitively,10.0
102786.wav,Distant humming gets louder as a train passes after honking a horn,10.0
104228.wav,Car engine running and then slowly turning off with a loud stuttering noise going off twice with slight pause between,10.0
105465.wav,A vehicle engine running and children speaking,10.0
103507.wav,A vehicle struggling to start with some clicks and whines,10.0
106190.wav,Police sirens sounding as wind is blowing heavily into a microphone,10.0
103544.wav,A large truck driving by as an emergency siren wails and truck horn honks,10.0
104047.wav,A man speaks with distant birds chirping and a small loud chirp,10.0
106982.wav,A long burp ends in a sigh,10.0
105301.wav,A vacuum cleaner is operating with wind noise,10.0
105307.wav,Some clicking followed by a sneeze and a man laughing,10.0
106347.wav,Camera rattling and muffling as a woman speaks in the background,10.0
50570.wav,Low speech from a man followed by machine making a beeping noise,10.0
103282.wav,"A race car races, and the engine accelerates",10.0
106585.wav,A door shutting followed by a couple of men talking then a horn honking and wood clanking,10.0
106135.wav,Loud clicking machine noises that revs up and down,10.0
106937.wav,A woman laughs and then a man laughs with her followed by a boy speaking,10.0
105802.wav,Horse feet clopping and an engine running,10.0
104328.wav,Running water and distant speech,10.0
13928.wav,Water rushing and rippling,10.0
107172.wav,A car idling and revving,10.0
103227.wav,A car engine clicks and whines as it tries to start,10.0
104617.wav,"A woman speaks, and a person makes animal sounds followed by laughter",10.0
106903.wav,Steam hissing followed by a train whistle blowing and a group of people talking in the background,10.0
107073.wav,A woman laughing followed by a sheep baaing and wind blowing into a microphone,10.0
104230.wav,People laugh and speak,10.0
106007.wav,A man laughing followed by another man yelling in the distance then wind blowing in a microphone as a motor hums and birds chirp in the background,10.0
10176.wav,An engine is being started up then idles,10.0
106789.wav,A person snoring,10.0
102834.wav,A person snoring,10.0
104869.wav,A man speaks over a loudspeaker as people speak and an engine hums,10.0
105352.wav,A clock ticking,10.0
104097.wav,A person snoring as metal creaks in the background,10.0
105187.wav,Emergency sirens and muffled speech,10.0
103968.wav,Liquid splashing and dripping as a kid laughs,10.0
104750.wav,A duck chirping as water lightly trickles and splashes,10.0
102806.wav,A truck engine running and revving as several vehicle horns honk while a group of people talk in the background,10.0
104514.wav,A woman speaks while a crowd talks and chuckles,10.0
104992.wav,A series of distorted burps followed by non-distorted burps,10.0
107422.wav,A vehicle engine gurgling followed by a horn tooting as wind blows into a microphone,10.0
105745.wav,A motorbike engine starting up then revving as a man talks in the background,10.0
103174.wav,A child screaming and laughing as a woman talks and giggles followed by thumping on a wooden surface,10.0
13131.wav,Engine running and revving,10.0
105815.wav,Rolling thunder with lightning strikes,10.0
106105.wav,A child speaking with crying and an adult female speaking,10.0
107094.wav,A door creaking open followed by wind blowing and leaves rustling then a cat meowing,10.0
105286.wav,A baby whines and laughs and a woman speaks,10.0
103690.wav,Wind blowing hard followed by breathing and faint quacks,10.0
105342.wav,White noise followed by some rustling and splashing,10.0
104619.wav,A dog barking followed by a dog growling as footsteps squeak on a hard surface floor and followed by series of metal clicks,10.0
104608.wav,A man talking as paper crinkles followed by plastic creaking then a toilet flushing,10.0
103503.wav,"Engine revs very high for a while, then begins to slow down",10.0
107049.wav,A woman speaks and a cat meows,10.0
103429.wav,"Loud burping speech followed by women laughing, alongside a man and woman talking in the background",10.0
106337.wav,A racing car is driving fast,10.0
107168.wav,A kid laughing as someone does a series of belching,10.0
103710.wav,Dogs bark and whine and growl,10.0
106267.wav,A few loud snores,10.0
103587.wav,"An appliance motor is running and obvious vibration and knocking are occurring, and an adult male and a child speak and the vibration continues, followed by an electronic beep",10.0
106473.wav,An engine running and then revving,10.0
107340.wav,Oinking and squealing,10.0
103094.wav,A man talking followed by a series of belches,10.0
104557.wav,A mid-size engine is idling and vibrating and is revved up one time,10.0
103385.wav,"While an electronic device plays in the background, two wolf whistles occur followed by metal thumping",10.0
106670.wav,A crowd of people talking followed by a horse neighing as a lawnmower engine runs in the background,10.0
106072.wav,A person burps followed by laughter,10.0
104277.wav,A person talking which later imitates a couple of meow sounds,10.0
107161.wav,A woman talking then laughing as a crowd of people talk in the background,10.0
104893.wav,A woman speaks with distant goats bleating and wind blowing,10.0
106375.wav,Some child speaking in the distant and a toilet flushing,10.0
104303.wav,Water pouring out of a faucet at a high rate followed by a container filling with liquid before splashing out proceeded by scrubbing on a plastic surface,10.0
106616.wav,Mechanical rotation and then a loud click occurs,10.0
103207.wav,A man talking followed by a popping burst then a man screaming proceeded by a crowd of people laughing,10.0
104909.wav,A toilet is flushed,10.0
106005.wav,Plastic clicking and clacking followed by a woman snoring,10.0
106915.wav,Vibrations and clanking from a drill,10.0
103297.wav,Music followed by male speech and distant sizzling,10.0
6658.wav,Thuds on floor,10.0
22666.wav,"A glass link occurs, a thump, and then clattering",10.0
104549.wav,A man speaks followed by burping,10.0
107063.wav,Oinking followed by screams,10.0
106487.wav,White noise continues then something begins clicking,10.0
104298.wav,Artillery cannons firing several times with an echo,10.0
107209.wav,A crowd of people talking followed by a vehicle engine revving then tires skidding,10.0
106664.wav,Water pouring down a drain with a series of metal clangs followed by a metal chain rattling,10.0
105096.wav,Wind blows and birds chirp with ocean waves in the background,10.0
107238.wav,Music plays followed by a man speaking,10.0
