model,steps,baseline,clap_score
AudioLDM,10,audiocaps,0.3283446729183197
AudioLDM,25,audiocaps,0.37921586632728577
AudioLDM,50,audiocaps,0.38566914200782776
AudioLDM,100,audiocaps,0.39050766825675964
AudioLDM,150,audiocaps,0.40749508142471313
AudioLDM,200,audiocaps,0.38388410210609436
AudioLDM,10,clotho,0.3081487715244293
AudioLDM,25,clotho,0.3263837695121765
AudioLDM,50,clotho,0.3224077522754669
AudioLDM,100,clotho,0.3160213828086853
AudioLDM,150,clotho,0.3405739367008209
AudioLDM,200,clotho,0.3118564188480377
