model,steps,baseline,fad_score
AudioLDM2,10,clotho,0.6052480168058507
AudioLDM2,25,clotho,0.5500538421833178
AudioLDM2,50,clotho,0.5400459303940058
AudioLDM2,100,clotho,0.5472149541873874
AudioLDM2,150,clotho,0.557892829904272
AudioLDM2,200,clotho,0.5677494724725364
AudioLDM2,10,audiocaps,0.21977275848458647
AudioLDM2,25,audiocaps,0.1756574927466704
AudioLDM2,50,audiocaps,0.18141265434169365
AudioLDM2,100,audiocaps,0.1809419061188962
AudioLDM2,150,audiocaps,0.16664812590255898
AudioLDM2,200,audiocaps,0.18082555861321736
