model,steps,baseline,clap_score
AudioLDM2,10,audiocaps,0.34645938873291016
AudioLDM2,25,audiocaps,0.38276049494743347
AudioLDM2,50,audiocaps,0.3818219304084778
AudioLDM2,100,audiocaps,0.3864969313144684
AudioLDM2,150,audiocaps,0.3777012526988983
AudioLDM2,200,audiocaps,0.38473793864250183
AudioLDM2,10,clotho,0.3185268044471741
AudioLDM2,25,clotho,0.3372972905635834
AudioLDM2,50,clotho,0.34394633769989014
AudioLDM2,100,clotho,0.3395601212978363
AudioLDM2,150,clotho,0.31990930438041687
AudioLDM2,200,clotho,0.339336633682251
