model,steps,baseline,gpu_energy,emissions
AudioLDM,10,audiocaps,0.00516630968865428,0.003489452503873305
AudioLDM,25,audiocaps,0.009555420977633844,0.006207974051291111
AudioLDM,50,audiocaps,0.016890304901153286,0.01078367260761552
AudioLDM,100,audiocaps,0.031585827213105176,0.0199361908794207
AudioLDM,150,audiocaps,0.0462970623153461,0.029099017166708197
AudioLDM,200,audiocaps,0.0610267402103296,0.0382322132376728
AudioLDM,10,clotho,0.005168184967963896,0.003523029593787019
AudioLDM,25,clotho,0.009577788773341922,0.006287732393050891
AudioLDM,50,clotho,0.01690183491020747,0.010888258567133177
AudioLDM,100,clotho,0.0317030364734438,0.020250852330505036
AudioLDM,150,clotho,0.0464573332769256,0.02954743052041621
AudioLDM,200,clotho,0.0611837503356589,0.0387657605930063
