model,steps,baseline,gpu_energy,emissions
AudioLDM2,10,audiocaps,0.009371404441601783,0.006785447029092008
AudioLDM2,25,audiocaps,0.018358354686625944,0.013046930479991049
AudioLDM2,50,audiocaps,0.0335462621147894,0.02362895325486286
AudioLDM2,100,audiocaps,0.0636633095417723,0.0445374420882831
AudioLDM2,150,audiocaps,0.0941668958891023,0.0657027142863936
AudioLDM2,200,audiocaps,0.1245754271602657,0.0867994463563961
AudioLDM2,10,clotho,0.00934924164608475,0.006813638955383527
AudioLDM2,25,clotho,0.01839553693855578,0.013090008568501876
AudioLDM2,50,clotho,0.0334851790103696,0.023592555995360125
AudioLDM2,100,clotho,0.0639733036785858,0.0448006539205031
AudioLDM2,150,clotho,0.094052744964642,0.0656462293150569
AudioLDM2,200,clotho,0.12439937368613779,0.0866667356759265
