model,steps,baseline,gpu_energy,emissions
MAA,10,audiocaps,0.010526455643379506,0.005732683813238643
MAA,25,audiocaps,0.017774320608353378,0.009482020185912645
MAA,50,audiocaps,0.02978869938644857,0.01568250589658392
MAA,100,audiocaps,0.0538295113969195,0.028029380351657057
MAA,150,audiocaps,0.0861344589075288,0.0447475517224438
MAA,200,audiocaps,0.1021626642300928,0.0529677048918372
MAA,10,clotho,0.010523881752398268,0.005735047095385174
MAA,25,clotho,0.01782475814879092,0.009450605960383494
MAA,50,clotho,0.02992266171591885,0.01566495042693007
MAA,100,clotho,0.054025697942697896,0.02809975487771733
MAA,150,clotho,0.0863855574416869,0.0447816443333053
MAA,200,clotho,0.1024419347312239,0.052967642635562404
