model,steps,baseline,gpu_energy,emissions
MAA2,10,audiocaps,0.011411691351522535,0.00610415270276625
MAA2,25,audiocaps,0.019303272942547522,0.010004987286388777
MAA2,50,audiocaps,0.0325085976734872,0.016467702849717467
MAA2,100,audiocaps,0.0590528336310459,0.029501028118656184
MAA2,150,audiocaps,0.0947313777295166,0.0469243108793665
MAA2,200,audiocaps,0.1124606619129263,0.0556112123109676
MAA2,10,clotho,0.011408699126985056,0.006096541965877246
MAA2,25,clotho,0.019303501553892488,0.009955884272989974
MAA2,50,clotho,0.03257112966791,0.016468062211966675
MAA2,100,clotho,0.0590644316959153,0.029445330638948122
MAA2,150,clotho,0.0947187829971487,0.0467983266168636
MAA2,200,clotho,0.1125143630670202,0.0554446344714167
