model,steps,baseline,gpu_energy,emissions
Tango,10,audiocaps,0.0323383978151516,0.01610684307489923
Tango,25,audiocaps,0.07567236164892,0.0370486045582198
Tango,50,audiocaps,0.1479057241576514,0.071955388544005
Tango,100,audiocaps,0.2928465076103835,0.1416396279070917
Tango,150,audiocaps,0.4388899913895507,0.2121230575648851
Tango,200,audiocaps,0.585837891169824,0.2833458685904917
Tango,10,clotho,0.0323620145005549,0.016191590786288113
Tango,25,clotho,0.0757026050064834,0.0372553339141092
Tango,50,clotho,0.14796075614621151,0.0723101044855903
Tango,100,clotho,0.2930316402584533,0.1427728543654839
Tango,150,clotho,0.4387522821127367,0.2129633345973873
Tango,200,clotho,0.5855283603668932,0.2841686506664043
