model,steps,baseline,gpu_energy,emissions
Tango2,10,audiocaps,0.03264503139382,0.0161647969462851
Tango2,25,audiocaps,0.076464754782772,0.037310558036934297
Tango2,50,audiocaps,0.1495977219002213,0.0726269430629279
Tango2,100,audiocaps,0.296182314723349,0.1432771942203895
Tango2,150,audiocaps,0.4437264591475574,0.2143895268406228
Tango2,200,audiocaps,0.5922635018659081,0.2854777526604697
Tango2,10,clotho,0.0326576889038452,0.01623891729355275
Tango2,25,clotho,0.0764132733527737,0.0374627610476635
Tango2,50,clotho,0.1494292253766362,0.072943656864143
Tango2,100,clotho,0.2959470834242058,0.1439133255219781
Tango2,150,clotho,0.4437892903089447,0.2150898174744974
Tango2,200,clotho,0.5920721525462148,0.2869968681262981
