timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-03-11T11:50:26,SAO_clotho-10-steps-Santa Motor,e1c401ab-73f7-4094-80a0-54ce3ae869d1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6052772249095142,5.34714214245212e-05,3.330977390994584e-05,159.0869819368905,439.6334059564169,0.8624653816223145,6.441089736200977e-05,9.691146641443991e-05,3.604639635620426e-07,0.00016168282774,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:50:33,SAO_clotho-25-steps-Santa Motor,150f6be6-a79c-4930-a968-d1e7c3cc1fa1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.209539496805519,8.463578846253191e-05,3.830471851030299e-05,129.76463346128722,1006.5842512647235,0.8626484870910645,8.396299355922614e-05,0.0001714515260502,5.007570387031183e-07,0.0002559152766481,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:50:42,SAO_clotho-50-steps-Santa Motor,ed34fdaa-9a5a-4967-b205-9f13e02da09a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.118289511185139,0.0001597991001568,3.880229879973876e-05,118.0442455317114,0.0,0.8628315925598145,0.0001539127909079,0.0003283141515311,9.61454191441393e-07,0.0004831883966304,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:50:54,SAO_clotho-100-steps-Santa Motor,a5ba642f-b9f3-4302-b855-1bc78f8d8be5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.144437819719315,0.0003225132792119,3.95992070110868e-05,125.81117144772136,891.4527161357493,0.8628315925598145,0.0003108543859055,0.0006624130299286,1.923771860445169e-06,0.0009751911876946,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:51:11,SAO_clotho-150-steps-Santa Motor,c752141a-a6fc-4ffa-831a-605aba927818,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.042434871196749,0.0004729680040755,3.927511413881712e-05,121.2024550290831,862.0676126379176,0.8633809089660645,0.0004455812264646,0.00098168439645,2.859148266485579e-06,0.0014301247711812,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:51:31,SAO_clotho-200-steps-Santa Motor,22008d45-c051-4652-b91b-ed1b3afa90cb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.00527746323496,0.0006343618070847,3.9634539828621285e-05,128.05616332486483,949.364640661218,0.8641133308410646,0.0006004586586998,0.0013138588288725,3.817621749442794e-06,0.0019181351093219,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:51:37,SAO_clotho-10-steps-Radio Garble,88f93e09-1c37-4828-8f35-381ca843690c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.954846885986626,3.42485765715102e-05,3.586813453983437e-05,153.75373959794268,0.0,0.8642964363098146,3.469323164345195e-05,6.866144381945105e-05,2.035722632872728e-07,0.0001035582477261,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:51:44,SAO_clotho-25-steps-Radio Garble,0a6c3c42-d74f-4239-ba8c-228a7d2b2d25,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.160858177114278,8.414016505666615e-05,3.8938309764054616e-05,139.31563610227423,961.7693626933504,0.8644795417785645,7.991600059941545e-05,0.0001740051392076,4.955083846726346e-07,0.0002544166481917,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:51:53,SAO_clotho-50-steps-Radio Garble,48ad99b1-db60-429e-a36f-3787c2940288,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.136037089861929,0.0001622301667635,3.922357639422063e-05,128.70586988076852,1049.9346577945705,0.8644795417785645,0.0001517276102708,0.0003378463813845,9.65279758657255e-07,0.0004905392714141,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
2025-03-11T11:52:05,SAO_clotho-100-steps-Radio Garble,4afd0416-92c0-4786-98a8-ed66659b8b64,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.11941547691822,0.0003196463005565,3.936814188968072e-05,158.51674697779708,0.0,0.8648457527160645,0.0003048869689093,0.0006597135833175,1.921682899669779e-06,0.0009665222351265,Italy,ITA,,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.39,3.12.7,2.7.2,64,AMD EPYC 7313 16-Core Processor,4,4 x NVIDIA A40,12.1097,43.1479,1007.5716896057128,process,N,1.0
