model,steps,baseline,fad_score
SAOsanity,10,clotho,0.7308309931074917
SAOsanity,25,clotho,0.6779223850481255
SAOsanity,50,clotho,0.6764354892148121
SAOsanity,100,clotho,0.6723313744861359
SAOsanity,150,clotho,0.6747313595400987
SAOsanity,200,clotho,0.6755062694409888
SAOsanity,10,audiocaps,0.38099021115688025
SAOsanity,25,audiocaps,0.27780673030765674
SAOsanity,50,audiocaps,0.27706435257556145
SAOsanity,100,audiocaps,0.2706012195412243
SAOsanity,150,audiocaps,0.27084360356512144
SAOsanity,200,audiocaps,0.2718350927251948
